threshold,customers_targeted,true_churners_caught,false_positives,total_cost,revenue_saved,net_value
0.2,875,353,522,43750,164598.32,120848.32
0.25,813,343,470,40650,159935.48,119285.48
0.3,750,334,416,37500,155738.92,118238.92
0.35,690,313,377,34500,145946.95,111446.95
0.4,642,296,346,32100,138020.12,105920.12
0.45,577,279,298,28850,130093.29,101243.29
0.5,527,266,261,26350,124031.59,97681.59
0.55,476,251,225,23800,117037.33,93237.33
0.6,427,234,193,21350,109110.5,87760.5
0.65,373,211,162,18650,98385.96,79735.96
0.7,310,187,123,15500,87195.14,71695.14
0.75,244,157,87,12200,73206.62,61006.62
0.8,173,122,51,8650,56886.67,48236.67
